ID,Status,Name,Slug,Count,Description,Taxonomy,Old Platform ID,View,Type,Use For
1134,active,Affordability,affordability,0,,post_tag,,https://mikesellsnj.com/tag/affordability/,,
1135,active,Agent Value,agent-value,0,,post_tag,,https://mikesellsnj.com/tag/agent-value/,,
1092,active,Alloway,alloway,0,,post_tag,,https://mikesellsnj.com/tag/alloway/,,
1187,active,April 2026,April-2026,0,,post_tag,,https://mikesellsnj.com/tag/april-2026/,,
1172,active,April 2027,April-2027,0,,post_tag,,https://mikesellsnj.com/tag/april-2027/,,
1175,active,April 2028,April-2028,0,,post_tag,,https://mikesellsnj.com/tag/april-2028/,,
1061,active,Audubon,audubon,0,,post_tag,,https://mikesellsnj.com/tag/audubon/,,
1032,active,August 2025,August-2025,5,,post_tag,,https://mikesellsnj.com/tag/august-2025/,,
1191,active,August 2026,August-2026,0,,post_tag,,https://mikesellsnj.com/tag/august-2026/,,
1167,active,August 2027,August-2027,0,,post_tag,,https://mikesellsnj.com/tag/august-2027/,,
1179,active,August 2028,August-2028,0,,post_tag,,https://mikesellsnj.com/tag/august-2028/,,
1136,active,Baby Boomers,baby-boomers,0,,post_tag,,https://mikesellsnj.com/tag/baby-boomers/,,
1114,active,Barrington,barrington,0,,post_tag,,https://mikesellsnj.com/tag/barrington/,,
1115,active,Bellmawr,bellmawr,0,,post_tag,,https://mikesellsnj.com/tag/bellmawr/,,
1116,active,Berlin,berlin,0,,post_tag,,https://mikesellsnj.com/tag/berlin/,,
1077,active,Bridgeton,bridgeton,0,,post_tag,,https://mikesellsnj.com/tag/bridgeton/,,
1118,active,Brooklawn,brooklawn,0,,post_tag,,https://mikesellsnj.com/tag/brooklawn/,,
1068,active,Burlington Twp,burlington-twp,0,,post_tag,,https://mikesellsnj.com/tag/burlington-twp/,,
1137,active,Buying Myths,buying-myths,92,,post_tag,,https://mikesellsnj.com/tag/buying-myths/,,
1138,active,Buying Tips,buying-tips,107,,post_tag,,https://mikesellsnj.com/tag/buying-tips/,,
1086,active,Carneys Point,carneys-point,0,,post_tag,,https://mikesellsnj.com/tag/carneys-point/,,
1054,active,Cherry Hill,cherry-hill,0,,post_tag,,https://mikesellsnj.com/tag/cherry-hill/,,
1069,active,Cinnaminson,cinnaminson,0,,post_tag,,https://mikesellsnj.com/tag/cinnaminson/,,
1053,active,Clayton,clayton,0,,post_tag,,https://mikesellsnj.com/tag/clayton/,,
1119,active,Clementon,clementon,0,,post_tag,,https://mikesellsnj.com/tag/clementon/,,
1057,active,Collingswood,collingswood,0,,post_tag,,https://mikesellsnj.com/tag/collingswood/,,
1078,active,Commercial Twp,commercial-twp,0,,post_tag,,https://mikesellsnj.com/tag/commercial-twp/,,
1182,active,December 2025,December-2025,0,,post_tag,,https://mikesellsnj.com/tag/december-2025/,,
1195,active,December 2026,December-2026,0,,post_tag,,https://mikesellsnj.com/tag/december-2026/,,
1171,active,December 2027,December-2027,0,,post_tag,,https://mikesellsnj.com/tag/december-2027/,,
1076,active,Deerfield,deerfield,0,,post_tag,,https://mikesellsnj.com/tag/deerfield/,,
1070,active,Delran,delran,0,,post_tag,,https://mikesellsnj.com/tag/delran/,,
1139,active,Demographics,demographics,0,,post_tag,,https://mikesellsnj.com/tag/demographics/,,
